sha,size,entropy,top_bytes_sampled
0011295bdf717059263af032fca3534c195c1b3b,317558,6.3325,"226:76809|195:43413|149:37200|194:22278|148:16101|150:13793|206:10201|136:7311"
001d93ed4ab66c0cf556189097c3a6e494a76366,131257,6.3182,"226:32732|195:17280|149:15846|194:9191|148:6506|150:5925|206:4018|136:3339"
00487e95ded2a6c1e5f6245bf66452cee41a5aad,793,3.9783,"32:261|101:67|110:38|116:36|58:33|115:31|111:30|114:27"
006492ca209b183967fff68c3220addd6785ce92,1060,4.1264,"32:363|111:65|108:49|46:41|114:36|48:35|116:32|59:31"
00c1d9b1e5ddc9e4868fdd52e506cf4385a62da6,616233,6.3323,"226:152116|195:79072|149:72668|194:45168|148:30640|150:27624|206:19335|136:15526"
00c2c95b0bd73a3696540aa9bb76e5836588f40d,1263,4.3477,"32:436|101:67|115:56|105:48|110:43|116:42|111:40|114:34"
00ff1975541dd1264326051b214a8b046c9cd5f5,501440,6.3321,"226:123812|195:64396|149:59100|194:36649|148:25028|150:22492|206:15703|136:12622"
010ad63bed38b6272fc7368396059c2ad64a7cb5,212,4.4248,"32:57|34:16|101:14|116:9|49:8|58:8|105:8|54:8"
01165b7373d1eec63a6ca20422e7bdb5b86cf987,1468,5.0404,"32:231|34:84|101:82|116:66|111:63|109:61|99:61|114:57"
